Run,Event,pt1,eta1,phi1,Q1,dxy1,iso1,pt2,eta2,phi2,Q2,dxy2,iso2
165617,74969122,54.7055,-0.4324,2.5742,1,-0.0745,0.4999,34.2464,-0.9885,-0.4987,-1,0.0712,3.4221
165617,75138253,24.5872,-2.0522,2.8666,-1,-0.0554,0.0000,28.5389,0.3852,-1.9912,1,0.0515,0.0000
165617,75887636,31.7386,-2.2595,-1.3323,-1,0.0879,0.0000,30.2344,-0.4684,1.8833,1,-0.0876,0.0000
165617,75779415,39.7394,-0.7123,-0.3123,1,0.0585,0.0000,48.2790,-0.1956,2.9703,-1,-0.0492,0.0000
165617,75098104,41.2998,-0.1571,-3.0408,1,-0.0305,1.2280,43.4508,0.5910,-0.0428,-1,0.0442,0.0000
165617,77255513,38.9425,0.3522,-2.2649,-1,0.0384,0.0000,39.8616,0.2630,0.9183,1,-0.0407,0.0000
165617,76042048,42.8278,-0.9549,-0.2418,-1,0.0513,0.6926,48.9864,-1.2183,2.8399,1,-0.0545,2.2525
165617,76661162,17.3593,-1.4809,-1.7046,-1,0.1411,25.9167,19.9872,0.8018,1.8758,1,-0.1022,6.9232
165617,77076988,38.1511,-0.8702,1.7165,1,-0.0840,0.0000,37.8959,0.5000,-1.8676,-1,0.0652,0.0000
165617,77459740,51.6437,-1.2153,1.8670,-1,-0.0826,0.0000,42.5626,-1.0076,-0.9362,1,0.0810,0.0000
165617,76405662,42.4714,-0.6696,-1.6303,-1,0.0728,1.0343,45.5961,-0.9944,1.3510,1,-0.0672,2.5457
165617,76583723,34.5104,0.7472,-1.6210,1,0.0749,0.0000,32.8544,-0.6922,1.3517,-1,-0.0685,0.5742
165617,76179155,45.0624,-1.9459,-1.0347,1,0.0848,0.4751,42.3556,-1.7178,2.0755,-1,-0.0852,0.0000
165617,75954345,33.5015,0.8150,-1.2105,-1,0.0861,0.0000,39.1855,-0.5652,1.9111,1,-0.0874,0.0000
165617,78956967,12.3659,-1.9390,-2.5886,1,0.0771,0.0000,22.0062,0.6683,0.8609,-1,-0.0346,20.8031
165617,77629816,43.2404,2.0852,-1.3489,-1,0.0808,0.0000,23.7645,0.3515,2.0577,1,-0.0849,0.0000
165617,78897689,40.5248,0.6154,-2.4147,1,0.0228,0.0000,55.7110,0.4367,0.1351,-1,0.0245,0.0000
165617,78700766,38.9949,-1.2957,-0.5833,-1,0.0711,0.3123,44.4981,-0.0067,-2.6780,1,0.0025,0.0000
165617,78348203,26.0628,-1.2041,2.0363,1,-0.0835,0.0000,42.9983,0.5559,-0.5038,-1,0.0705,0.0000
165617,78693707,21.3986,-1.6865,0.0905,1,0.0263,4.4573,10.8491,1.2098,3.0488,1,-0.0430,38.1065
165617,78814907,26.4557,-1.3036,1.4122,-1,-0.0697,0.0000,24.8115,1.0791,-1.6952,1,0.0698,1.6034
165617,78974110,41.4411,1.5357,1.3153,1,-0.0665,0.0000,38.8605,0.5041,-1.8464,-1,0.0636,0.3432
165617,80578768,34.6150,1.4333,-2.3173,-1,0.0299,0.0000,51.6188,1.0359,0.6525,1,-0.0149,0.0000
165617,80284893,3.4637,-0.7705,-2.8897,-1,-0.0150,14.5386,528.4340,-0.0208,0.2602,1,0.1706,23.7230
165617,80456027,38.8825,1.2810,2.0024,1,-0.0910,0.0000,50.7055,1.4754,-1.4138,-1,0.0865,0.0000
165617,79285182,46.8549,-1.5274,0.6067,1,-0.0134,0.0000,34.9581,-0.4515,-2.1679,-1,0.0462,0.3363
165617,79848134,58.6877,-1.0213,0.8362,1,-0.0319,0.0000,45.7553,-0.3703,2.7418,-1,-0.0634,0.0000
165617,79997894,36.4199,1.5433,1.8977,1,-0.0838,0.0000,36.9754,0.1521,-1.1335,-1,0.0839,0.4675
165617,79973412,34.6523,1.3782,1.2427,-1,-0.0668,0.0000,52.8462,0.3128,-1.0425,1,0.0877,1.2246
